URL,Response Code,News Error,Detected,Category,Platform,Last crawled
https://www.lehmans.com/p-2980-lehmans-laundry-soap-nuts.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-555-american-corn-cutter.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-905-childs-wooden-toy-tool-set.aspx?pageNum=1,404,,6/30/16,Not found,Desktop,6/30/16
https://www.lehmans.com/p-1910-reusable-insulated-grocery-bag.aspx?OrderBy=2&,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-8068-amish-made-wall-mop.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-2014-apple-butter-barbeque-sauce.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-1342-victorian-calendar-holder.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-562-hot-water-system-two-wood-fired-water-heater.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-1384-lehmans-own-galvanized-well-bucket.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-1693-sweet-caramel-popcorn-glaze.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-334-authentic-corn-house-brooms.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-4400-high-speed-grain-mill.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-2826-curved-butter-paddle.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-2537-handel-style-acorn-pulls-chains.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-623-crosscut-saw-manual.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-2796-mini-shopkeeper-s-bell.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/product/glass-fat-separator?show=all,404,,7/15/16,Not found,Desktop,7/18/16
https://www.lehmans.com/p-1341-traditional-treadle-sewing-machine.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-2101-clear-oil-lamp-chimney-2-base.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-490-terra-cotta-pie-pan.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-501-wooden-backscratcher.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-1181-hearthstone-heritage-wood-heat-stove.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-8414-stainless-steel-milk-can-1-gallon.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-154-rustproof-clothesline-pulley.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-5071-push-pull-hoe.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
